sport,game_id,league_id,league_name,season,home_team_id,home_team_name,away_team_id,away_team_name,result,odds_home,odds_away,odds_draw,favourite
afl,2859,1,AFL Premiership,2024,2,Brisbane Lions,13,St Kilda Saints,home,1.124,5.843,10000.0,home
afl,2860,1,AFL Premiership,2024,16,Western Bulldogs,6,Fremantle Dockers,home,1.764,2.022,10000.0,home
afl,2861,1,AFL Premiership,2024,12,Richmond Tigers,8,Hawthorn Hawks,away,2.75,1.448,10000.0,home
baseball,154265,1,MLB,2024,15,Houston Astros,12,Detroit Tigers,home,1.8315384615384616,2.0015384615384617,10000.0,home
baseball,154272,1,MLB,2024,20,Milwaukee Brewers,8,Cincinnati Reds,away,1.58,2.443846153846154,10000.0,home
baseball,154273,1,MLB,2024,22,Minnesota Twins,26,Oakland Athletics,home,1.5561538461538462,2.493076923076923,10000.0,home
baseball,154274,1,MLB,2024,10,Colorado Rockies,28,Pittsburgh Pirates,away,1.9907692307692304,1.846923076923077,10000.0,home
baseball,154264,1,MLB,2024,2,Arizona Diamondbacks,7,Chicago White Sox,home,1.5115384615384615,2.6253846153846156,10000.0,home
baseball,154275,1,MLB,2024,18,Los Angeles Dodgers,16,Kansas City Royals,home,1.6507692307692308,2.286923076923077,10000.0,home
baseball,154276,1,MLB,2024,32,Seattle Mariners,35,Texas Rangers,home,1.6976923076923076,2.1953846153846155,10000.0,home
baseball,154277,1,MLB,2024,31,San Francisco Giants,17,Los Angeles Angels,away,1.6392307692307693,2.3053846153846154,10000.0,home
baseball,154279,1,MLB,2024,6,Chicago Cubs,33,St.Louis Cardinals,home,1.5446153846153847,2.5138461538461536,10000.0,home
basketball,384840,13,NBA W,2024,165,Dallas Wings W,164,Connecticut Sun W,away,3.3275,1.338125,10000.0,home
basketball,384841,13,NBA W,2024,167,Las Vegas Aces W,170,New York Liberty W,away,1.735625,2.125,10000.0,home
afl,2863,1,AFL Premiership,2024,10,North Melbourne Kangaroos,4,Collingwood Magpies,away,6.929,1.096,10000.0,home
afl,2864,1,AFL Premiership,2024,18,Greater Western Sydney Giants,11,Port Adelaide Power,home,1.526,2.471,10000.0,home
baseball,154291,1,MLB,2024,10,Colorado Rockies,28,Pittsburgh Pirates,home,2.4015384615384616,1.596923076923077,10000.0,home
baseball,154292,1,MLB,2024,18,Los Angeles Dodgers,16,Kansas City Royals,away,1.4076923076923076,3.0115384615384615,10000.0,home
baseball,154281,1,MLB,2024,2,Arizona Diamondbacks,7,Chicago White Sox,away,1.5846153846153848,2.4269230769230767,10000.0,home
baseball,154300,1,MLB,2024,6,Chicago Cubs,33,St.Louis Cardinals,away,1.7561538461538462,2.1130769230769233,10000.0,home
baseball,154293,1,MLB,2024,3,Atlanta Braves,34,Tampa Bay Rays,away,1.8053846153846151,2.043076923076923,10000.0,home
baseball,154294,1,MLB,2024,4,Baltimore Orioles,27,Philadelphia Phillies,home,1.7223076923076923,2.166153846153846,10000.0,home
baseball,154295,1,MLB,2024,37,Washington Nationals,19,Miami Marlins,home,1.816923076923077,2.0276923076923077,10000.0,home
baseball,154296,1,MLB,2024,36,Toronto Blue Jays,9,Cleveland Guardians,home,1.8392307692307692,1.9984615384615383,10000.0,home
baseball,154297,1,MLB,2024,24,New York Mets,30,San Diego Padres,home,2.1553846153846155,1.7276923076923076,10000.0,home
basketball,384843,13,NBA W,2024,166,Indiana Fever W,163,Chicago Sky W,home,1.6925,2.1906250000000003,10000.0,home
basketball,384842,13,NBA W,2024,171,Phoenix Mercury W,172,Seattle Storm W,home,2.319375,1.6225,10000.0,home
basketball,384844,13,NBA W,2024,162,Atlanta Dream W,168,Los Angeles Sparks W,home,1.44875,2.786875,10000.0,home
football,1145513,4,Euros Championship,2024,1091,Slovenia,21,Denmark,draw,5.6129411764705885,1.6935294117647055,3.626470588235294,away
football,1145514,4,Euros Championship,2024,14,Serbia,10,England,away,7.158823529411765,1.4694117647058824,4.472941176470588,away
football,1189846,4,Euros Championship,2024,24,Poland,1118,Netherlands,away,7.157058823529412,1.4770588235294118,4.411176470588235,away
baseball,154308,1,MLB,2024,19,Miami Marlins,33,St.Louis Cardinals,away,2.289230769230769,1.6492307692307693,10000.0,home
baseball,154309,1,MLB,2024,27,Philadelphia Phillies,30,San Diego Padres,home,1.5061538461538462,2.653076923076923,10000.0,home
baseball,154310,1,MLB,2024,28,Pittsburgh Pirates,8,Cincinnati Reds,home,1.5515384615384615,2.5076923076923077,10000.0,home
baseball,154311,1,MLB,2024,36,Toronto Blue Jays,5,Boston Red Sox,away,1.8046153846153847,2.04,10000.0,home
baseball,154312,1,MLB,2024,3,Atlanta Braves,12,Detroit Tigers,home,1.4638461538461538,2.793076923076923,10000.0,home
football,1189847,4,Euros Championship,2024,774,Romania,772,Ukraine,home,4.384705882352941,1.904705882352941,3.4288235294117646,away
football,1145516,4,Euros Championship,2024,1,Belgium,773,Slovakia,away,1.4641176470588235,7.287058823529412,4.46,home
football,1145515,4,Euros Championship,2024,775,Austria,2,France,away,5.7688235294117645,1.5805882352941176,4.184117647058824,away
